method,method_role,split,k,group_type,task_type,count,evidence_recall,complete_evidence_recall,mrr,search_success_rate,average_tool_calls,latency_avg_ms,latency_p95_ms,evidence_gain_per_step,stop_accuracy
dense,formal_baseline,final,1,overall,,180,0.7277777777777777,0.4888888888888889,0.7277777777777777,0.4888888888888889,1.0,166.9608716659248,168.72355999549228,,
dense,formal_baseline,final,3,overall,,180,0.8666666666666667,0.6777777777777778,0.7907407407407407,0.6777777777777778,1.0,166.9608716659248,168.72355999549228,,
dense,formal_baseline,final,5,overall,,180,0.9166666666666666,0.7444444444444445,0.8018518518518518,0.7444444444444445,1.0,166.9608716659248,168.72355999549228,,
file_fts,formal_baseline,final,1,overall,,180,0.85,0.5722222222222222,0.85,0.5722222222222222,1.0,6.782894443472227,15.26346001103518,,
file_fts,formal_baseline,final,3,overall,,180,0.9666666666666667,0.7555555555555555,0.9046296296296297,0.7555555555555555,1.0,6.782894443472227,15.26346001103518,,
file_fts,formal_baseline,final,5,overall,,180,0.9833333333333333,0.7888888888888889,0.9087962962962963,0.7888888888888889,1.0,6.782894443472227,15.26346001103518,,
fusion,formal_baseline,final,1,overall,,180,0.8166666666666667,0.55,0.8166666666666667,0.55,3.0,198.09495110900866,223.0821650025745,,
fusion,formal_baseline,final,3,overall,,180,0.9722222222222222,0.7888888888888889,0.8935185185185185,0.7888888888888889,3.0,198.09495110900866,223.0821650025745,,
fusion,formal_baseline,final,5,overall,,180,0.9722222222222222,0.8555555555555555,0.8935185185185185,0.8555555555555555,3.0,198.09495110900866,223.0821650025745,,
graph_path,formal_baseline,final,1,overall,,180,0.7,0.4444444444444444,0.7,0.4444444444444444,1.0,24.351184999611643,40.064255008101455,,
graph_path,formal_baseline,final,3,overall,,180,0.8777777777777778,0.7777777777777778,0.7851851851851852,0.7777777777777778,1.0,24.351184999611643,40.064255008101455,,
graph_path,formal_baseline,final,5,overall,,180,0.9277777777777778,0.8222222222222222,0.7968518518518518,0.8222222222222222,1.0,24.351184999611643,40.064255008101455,,
oracle,analysis_only,final,1,overall,,180,0.9111111111111111,0.6111111111111112,0.9111111111111111,0.6111111111111112,1.0,16.516593221729554,40.2470949992528,,
oracle,analysis_only,final,3,overall,,180,0.9777777777777777,0.8722222222222222,0.9444444444444444,0.8722222222222222,1.0,16.516593221729554,40.2470949992528,,
oracle,analysis_only,final,5,overall,,180,0.9833333333333333,0.9,0.9458333333333333,0.9,1.0,16.516593221729554,40.2470949992528,,
