method,task_type,k,evidence_recall,complete_evidence_recall,search_success,mrr,avg_tool_calls,avg_latency_ms,p95_latency_ms,evidence_gain_step2,stop_accuracy
dense,exact_file_lookup,3,76.67%,76.67%,76.67%,70.28%,1.0000,167.04,168.37,,
file_fts,exact_file_lookup,3,95.00%,95.00%,95.00%,88.61%,1.0000,10.50,18.67,,
graph_path,exact_file_lookup,3,85.00%,85.00%,85.00%,70.00%,1.0000,32.61,50.08,,
rule_router,exact_file_lookup,3,95.00%,95.00%,95.00%,88.61%,1.0000,13.50,20.89,,
fusion,exact_file_lookup,3,96.67%,96.67%,96.67%,86.39%,3.0000,210.15,231.46,,
oracle,exact_file_lookup,3,96.67%,96.67%,96.67%,92.50%,1.0000,14.03,23.46,,
two_stage_agent,exact_file_lookup,3,96.67%,96.67%,96.67%,87.78%,1.6500,856.19,3650.72,1.67%,40.00%
dense,multi_hop_relation,3,88.33%,31.67%,31.67%,79.17%,1.0000,166.89,169.03,,
file_fts,multi_hop_relation,3,96.67%,33.33%,33.33%,89.44%,1.0000,5.63,15.26,,
graph_path,multi_hop_relation,3,88.33%,58.33%,58.33%,82.50%,1.0000,21.81,34.76,,
rule_router,multi_hop_relation,3,90.00%,43.33%,43.33%,82.78%,1.0000,2706.77,6775.07,,
fusion,multi_hop_relation,3,98.33%,43.33%,43.33%,89.17%,3.0000,194.32,218.00,,
oracle,multi_hop_relation,3,98.33%,66.67%,66.67%,94.17%,1.0000,25.33,166.31,,
two_stage_agent,multi_hop_relation,3,93.33%,46.67%,46.67%,84.72%,1.3333,3095.78,6262.76,6.67%,56.67%
dense,semantic_fact,3,95.00%,95.00%,95.00%,87.78%,1.0000,166.96,168.52,,
file_fts,semantic_fact,3,98.33%,98.33%,98.33%,93.33%,1.0000,4.22,10.26,,
graph_path,semantic_fact,3,90.00%,90.00%,90.00%,83.06%,1.0000,18.64,28.83,,
rule_router,semantic_fact,3,96.67%,96.67%,96.67%,91.11%,1.0000,3581.34,8385.41,,
fusion,semantic_fact,3,96.67%,96.67%,96.67%,92.50%,3.0000,189.81,205.33,,
oracle,semantic_fact,3,98.33%,98.33%,98.33%,96.67%,1.0000,10.20,14.52,,
two_stage_agent,semantic_fact,3,96.67%,96.67%,96.67%,90.28%,1.3333,3656.09,9814.89,0.00%,70.00%
dense,exact_file_lookup,5,83.33%,83.33%,83.33%,71.78%,1.0000,167.04,168.37,,
file_fts,exact_file_lookup,5,96.67%,96.67%,96.67%,89.03%,1.0000,10.50,18.67,,
graph_path,exact_file_lookup,5,90.00%,90.00%,90.00%,71.17%,1.0000,32.61,50.08,,
rule_router,exact_file_lookup,5,96.67%,96.67%,96.67%,89.03%,1.0000,13.50,20.89,,
fusion,exact_file_lookup,5,96.67%,96.67%,96.67%,86.39%,3.0000,210.15,231.46,,
oracle,exact_file_lookup,5,96.67%,96.67%,96.67%,92.50%,1.0000,14.03,23.46,,
two_stage_agent,exact_file_lookup,5,96.67%,96.67%,96.67%,87.78%,1.6500,856.19,3650.72,0.00%,38.33%
dense,multi_hop_relation,5,96.67%,45.00%,45.00%,81.00%,1.0000,166.89,169.03,,
file_fts,multi_hop_relation,5,100.00%,41.67%,41.67%,90.28%,1.0000,5.63,15.26,,
graph_path,multi_hop_relation,5,95.00%,63.33%,63.33%,84.08%,1.0000,21.81,34.76,,
rule_router,multi_hop_relation,5,96.67%,53.33%,53.33%,84.28%,1.0000,2706.77,6775.07,,
fusion,multi_hop_relation,5,98.33%,63.33%,63.33%,89.17%,3.0000,194.32,218.00,,
oracle,multi_hop_relation,5,100.00%,75.00%,75.00%,94.58%,1.0000,25.33,166.31,,
two_stage_agent,multi_hop_relation,5,96.67%,63.33%,63.33%,85.39%,1.3333,3095.78,6262.76,10.00%,66.67%
dense,semantic_fact,5,95.00%,95.00%,95.00%,87.78%,1.0000,166.96,168.52,,
file_fts,semantic_fact,5,98.33%,98.33%,98.33%,93.33%,1.0000,4.22,10.26,,
graph_path,semantic_fact,5,93.33%,93.33%,93.33%,83.81%,1.0000,18.64,28.83,,
rule_router,semantic_fact,5,96.67%,96.67%,96.67%,91.11%,1.0000,3581.34,8385.41,,
fusion,semantic_fact,5,96.67%,96.67%,96.67%,92.50%,3.0000,189.81,205.33,,
oracle,semantic_fact,5,98.33%,98.33%,98.33%,96.67%,1.0000,10.20,14.52,,
two_stage_agent,semantic_fact,5,96.67%,96.67%,96.67%,90.28%,1.3333,3656.09,9814.89,0.00%,70.00%
