method,method_role,split,k,group_type,task_type,count,evidence_recall,complete_evidence_recall,mrr,search_success_rate,average_tool_calls,latency_avg_ms,latency_p95_ms,evidence_gain_per_step,stop_accuracy
dense,formal_baseline,final,1,overall,,180,0.7277777777777777,0.4888888888888889,0.7277777777777777,0.4888888888888889,1.0,166.9608716659248,168.72355999549228,,
dense,formal_baseline,final,3,overall,,180,0.8666666666666667,0.6777777777777778,0.7907407407407407,0.6777777777777778,1.0,166.9608716659248,168.72355999549228,,
dense,formal_baseline,final,5,overall,,180,0.9166666666666666,0.7444444444444445,0.8018518518518518,0.7444444444444445,1.0,166.9608716659248,168.72355999549228,,
dense,formal_baseline,final,1,task_type,exact_file_lookup,60,0.65,0.65,0.65,0.65,1.0,167.0367466645936,168.3719100077947,,
dense,formal_baseline,final,1,task_type,multi_hop_relation,60,0.7166666666666667,0.0,0.7166666666666667,0.0,1.0,166.88683500140905,169.0265649964412,,
dense,formal_baseline,final,1,task_type,semantic_fact,60,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,1.0,166.9590333317717,168.52045999666055,,
dense,formal_baseline,final,3,task_type,exact_file_lookup,60,0.7666666666666667,0.7666666666666667,0.7027777777777777,0.7666666666666667,1.0,167.0367466645936,168.3719100077947,,
dense,formal_baseline,final,3,task_type,multi_hop_relation,60,0.8833333333333333,0.31666666666666665,0.7916666666666666,0.31666666666666665,1.0,166.88683500140905,169.0265649964412,,
dense,formal_baseline,final,3,task_type,semantic_fact,60,0.95,0.95,0.8777777777777778,0.95,1.0,166.9590333317717,168.52045999666055,,
dense,formal_baseline,final,5,task_type,exact_file_lookup,60,0.8333333333333334,0.8333333333333334,0.7177777777777777,0.8333333333333334,1.0,167.0367466645936,168.3719100077947,,
dense,formal_baseline,final,5,task_type,multi_hop_relation,60,0.9666666666666667,0.45,0.81,0.45,1.0,166.88683500140905,169.0265649964412,,
dense,formal_baseline,final,5,task_type,semantic_fact,60,0.95,0.95,0.8777777777777778,0.95,1.0,166.9590333317717,168.52045999666055,,
file_fts,formal_baseline,final,1,overall,,180,0.85,0.5722222222222222,0.85,0.5722222222222222,1.0,6.782894443472227,15.26346001103518,,
file_fts,formal_baseline,final,3,overall,,180,0.9666666666666667,0.7555555555555555,0.9046296296296297,0.7555555555555555,1.0,6.782894443472227,15.26346001103518,,
file_fts,formal_baseline,final,5,overall,,180,0.9833333333333333,0.7888888888888889,0.9087962962962963,0.7888888888888889,1.0,6.782894443472227,15.26346001103518,,
file_fts,formal_baseline,final,1,task_type,exact_file_lookup,60,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,10.504876665274303,18.66717500165105,,
file_fts,formal_baseline,final,1,task_type,multi_hop_relation,60,0.8333333333333334,0.0,0.8333333333333334,0.0,1.0,5.626024999966224,15.2634600110352,,
file_fts,formal_baseline,final,1,task_type,semantic_fact,60,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333,1.0,4.217781665176153,10.261990017443894,,
file_fts,formal_baseline,final,3,task_type,exact_file_lookup,60,0.95,0.95,0.8861111111111111,0.95,1.0,10.504876665274303,18.66717500165105,,
file_fts,formal_baseline,final,3,task_type,multi_hop_relation,60,0.9666666666666667,0.3333333333333333,0.8944444444444445,0.3333333333333333,1.0,5.626024999966224,15.2634600110352,,
file_fts,formal_baseline,final,3,task_type,semantic_fact,60,0.9833333333333333,0.9833333333333333,0.9333333333333333,0.9833333333333333,1.0,4.217781665176153,10.261990017443894,,
file_fts,formal_baseline,final,5,task_type,exact_file_lookup,60,0.9666666666666667,0.9666666666666667,0.8902777777777777,0.9666666666666667,1.0,10.504876665274303,18.66717500165105,,
file_fts,formal_baseline,final,5,task_type,multi_hop_relation,60,1.0,0.4166666666666667,0.9027777777777778,0.4166666666666667,1.0,5.626024999966224,15.2634600110352,,
file_fts,formal_baseline,final,5,task_type,semantic_fact,60,0.9833333333333333,0.9833333333333333,0.9333333333333333,0.9833333333333333,1.0,4.217781665176153,10.261990017443894,,
fusion,formal_baseline,final,1,overall,,180,0.8166666666666667,0.55,0.8166666666666667,0.55,3.0,198.09495110900866,223.0821650025745,,
fusion,formal_baseline,final,3,overall,,180,0.9722222222222222,0.7888888888888889,0.8935185185185185,0.7888888888888889,3.0,198.09495110900866,223.0821650025745,,
fusion,formal_baseline,final,5,overall,,180,0.9722222222222222,0.8555555555555555,0.8935185185185185,0.8555555555555555,3.0,198.09495110900866,223.0821650025745,,
fusion,formal_baseline,final,1,task_type,exact_file_lookup,60,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,3.0,210.15034332871437,231.45875501533345,,
fusion,formal_baseline,final,1,task_type,multi_hop_relation,60,0.8,0.0,0.8,0.0,3.0,194.32044333343705,218.00014501338202,,
fusion,formal_baseline,final,1,task_type,semantic_fact,60,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333,3.0,189.81406666487456,205.33441501458483,,
fusion,formal_baseline,final,3,task_type,exact_file_lookup,60,0.9666666666666667,0.9666666666666667,0.8638888888888889,0.9666666666666667,3.0,210.15034332871437,231.45875501533345,,
fusion,formal_baseline,final,3,task_type,multi_hop_relation,60,0.9833333333333333,0.43333333333333335,0.8916666666666667,0.43333333333333335,3.0,194.32044333343705,218.00014501338202,,
fusion,formal_baseline,final,3,task_type,semantic_fact,60,0.9666666666666667,0.9666666666666667,0.925,0.9666666666666667,3.0,189.81406666487456,205.33441501458483,,
fusion,formal_baseline,final,5,task_type,exact_file_lookup,60,0.9666666666666667,0.9666666666666667,0.8638888888888889,0.9666666666666667,3.0,210.15034332871437,231.45875501533345,,
